x,y,z,type,apoptosis,necrosis,migration speed,phagocytose apoptotic cell,phagocytose necrotic cell,attack tumor cell,attack duration,attack damage rate,damage rate,damage repair rate
0,0,0,tumor cell,9e9,0,0,0,0,skip,skip,skip,1,0
15,0,0,macrophage,skip,skip,0,0.05,0.000000,skip,skip,skip,skip,skip
100,0,0,tumor cell,0,9e9,0,0,0,skip,skip,skip,skip,skip
115,0,0,macrophage,skip,skip,0,0.0000000,0.05,skip,skip,skip,skip,skip
100,100,0,fast T cell,skip,skip,0,0.00000,0.00,0.025,5,1,skip,skip
115,100,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
107.5,113,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
107.5,87,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
100,115,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
100,85,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
92.5,113,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
92.5,87,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
85,100,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-100,100,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-100,85,0,fast T cell,skip,skip,0,0.00000,0.00,0.025,5,1,skip,skip
-100,115,0,fast T cell,skip,skip,0,0.00000,0.00,0.025,5,1,skip,skip
-115,100,0,fast T cell,skip,skip,0,0.00000,0.00,0.025,5,1,skip,skip
-85,100,0,fast T cell,skip,skip,0,0.00000,0.00,0.025,5,1,skip,skip
0,-100,0,tumor cell,9e9,0,0,0,0,skip,skip,skip,1,0.05
-100,-100,0,slow T cell,skip,skip,0,0.00000,0.00,0.025,50,0.1,skip,skip
-115,-100,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-107.5,-113,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-107.5,-87,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-100,-115,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-100,-85,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-92.5,-113,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-92.5,-87,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
-85,-100,0,tumor cell,0,0,0,0,0,skip,skip,skip,skip,skip
